,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
18,2022-09-14 21:12:03+00:00,https://twitter.com/d5crypto/status/1570158460536500226,d5crypto,Twitter Web App,Not financial advice,how many fake vitalik.eth accounts are there? is this bullish? #ETH #TheMerge,2,0,0,0
19,2022-09-14 21:00:03+00:00,https://twitter.com/RetrospectApps/status/1570155439588876289,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1601.03$ | -0.93%
🕖-score -7.58609809264305
📈Market View: -4.5 🙁
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",1,0,0,1
20,2022-09-14 20:47:54+00:00,https://twitter.com/CajulMatias/status/1570152382356672512,CajulMatias,Twitter Web App,"Córdoba, Argentina","$ETH a few hours before the most important event of the year for $ETH, if the MERGE works correctly, will we see $ETH approaching local highs? 
Important level to hold: The bottom of the bullish micro channel
#ETH #ETHMerge https://t.co/vz2SAhuu2C",2,0,0,2
21,2022-09-14 20:42:06+00:00,https://twitter.com/DukeBitcoin/status/1570150920754966528,DukeBitcoin,Twitter for Android,Follow me...,"Falta pouco para o merge do #ETH, se perder o suporte, é queda infinita. https://t.co/Y8AQBwZWGn",0,0,1,0
22,2022-09-14 20:41:36+00:00,https://twitter.com/JungleSmith1/status/1570150795617738754,JungleSmith1,Twitter for iPhone,,"_______ on #ETH merge, Bullish on #aptos",3,0,0,0
23,2022-09-14 20:37:13+00:00,https://twitter.com/DefaceNft/status/1570149692469567488,DefaceNft,Twitter for iPhone,In Your Wallet,Eth 2.0 or the merge whatever you want to call it I’m bullish! #ETH #ETHMerge $ETH,1,0,0,1
24,2022-09-14 20:22:45+00:00,https://twitter.com/cyberspace2140/status/1570146051423707141,cyberspace2140,Twitter for Android,BlockchainCity,#ETH #Ethereum #Short #Trade : Current price: $1590. Target price range: $1000-1300. NOTE: Maybe wise to await 1d &amp; 12H candle close to confirm any bearish directional bias &amp; ensure that price is still closing under 1H 20MA. #NFA. #altcoin #Crypto #ETHMerge https://t.co/MxYtl8zIRb,1,0,0,1
25,2022-09-14 20:00:30+00:00,https://twitter.com/tyger1923crypto/status/1570140454351671297,tyger1923crypto,Twitter for iPhone,"Brăila, România","@rovercrc Yes, but not with these macro events.
Maybe in 2024 #ETH will explode to $19000.",1,0,0,0
26,2022-09-14 20:00:14+00:00,https://twitter.com/NftMayc/status/1570140385888079873,NftMayc,Twitter for iPhone,,"ETH price mostly going to dump once all the staked ETH + the rewards will be released - we are still in bearish market and people is getting scared 😱👀

Honestly, I am waiting for the dip to reload some more #ETH to my wallet 👜

Let’s see how it goes - 📉 or 📈 ?#Crypto",16,2,1,1
27,2022-09-14 20:00:12+00:00,https://twitter.com/RetrospectApps/status/1570140379558846464,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1598.3$ | -0.26%
🕖-score -1.690736100356201
📈Market View: 11.8 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
28,2022-09-14 20:00:03+00:00,https://twitter.com/CryptoMarketInd/status/1570140339658268672,CryptoMarketInd,CryptoMarketIndex,Global,"The ETH sentiment for Sep 14, 2022 @ 16:00 EDT is 
59% bullish 
 #bullmarket 

 #ETH #CryptoMarket #CryptoNews",0,0,0,0
29,2022-09-14 19:51:40+00:00,https://twitter.com/TC_dao_/status/1570138230871433217,TC_dao_,Twitter Web App,Lost in translation,"2/2 this does not take into account the upcoming #ETH launch of @PulsedogeWin 

The possibility to arbitrage from ETH to #BSC is bullish and we could see the chart do cool shit during the 30 day burn/claim phase",2,0,1,1
30,2022-09-14 19:49:48+00:00,https://twitter.com/maxime_ctrr/status/1570137759393669123,maxime_ctrr,Twitter Web App,📝 Free TA Ebook ➡️,"Are you all ready for the merge tomorrow? Do you think there will be a problem, a big crash of POS like POW?

#TheMerge #eth #Ethereum",4,0,0,4
31,2022-09-14 19:44:04+00:00,https://twitter.com/ClassicDragon_/status/1570136318025560066,ClassicDragon_,Twitter Web App,,"Most Bullish Chart of the week 😉

Buy here: https://t.co/ame6Sk7wMT

#ETC #ETCGEM #100xGem #Classicdragon #cryptocurrency #ETC #ethereum #altcoin #100xgem #crypto #eth $ETH $BTC $DRAGON #altcoin #memecoin #100x #cryptoworld https://t.co/OK4IzwXtJH",15,6,2,5
32,2022-09-14 19:37:20+00:00,https://twitter.com/0xVoxy/status/1570134622599778305,0xVoxy,Twitter for iPhone,Metaverse,"Today is Ethereum Merge day

Are you guys bullish on #ETH?",1,0,0,1
33,2022-09-14 19:29:36+00:00,https://twitter.com/fOOnyuns/status/1570132675838746624,fOOnyuns,Twitter for iPhone,,It always starts with GM innit #ENS #ensdomains bullish on my underscore collection #underscore #ETH @underscoreens https://t.co/NvVvXDB8mw,0,1,0,0
34,2022-09-14 19:16:05+00:00,https://twitter.com/AndrewGriUK/status/1570129276246331392,AndrewGriUK,Andrew Signals,"Birmingham, England","#ETH The price has formed an ascending triangle . Possible bullish breakout of the pattern on the news about the approaching launch of PoS 
 #ETHBTC https://t.co/uWCNcScMdG",1,0,0,0
35,2022-09-14 19:14:36+00:00,https://twitter.com/Viiespax/status/1570128902994919425,Viiespax,Twitter Web App,,"Potential #ETH short scalp this night.
Playing the bearish retest
S/L not hard to find ;) https://t.co/7zYRtgkJC0",0,0,1,0
36,2022-09-14 19:12:39+00:00,https://twitter.com/CryptoLifer33/status/1570128410147704832,CryptoLifer33,Twitter Web App,NYC,"#Ethereum Update Sept 14, 2022 | #ETH looks #Bullish in an inverted Head&amp;Shoulders &amp; holding its price leading into the #EthereumMerge. Potential 70% Gains
Target1: 2,330
Target2: 2,700

I'm going #LIVE Tonight for the #ETHMerge at 1am EDT.
#Crypto 

https://t.co/oN1DeP9KvZ",18,1,0,2
37,2022-09-14 19:11:14+00:00,https://twitter.com/TKralow/status/1570128055649325056,TKralow,Twitter for iPhone,"Dubai, UAE","Roughly 11 Hours to go. #ETH merge.

Are you guys bullish on #ETH?",138,37,0,33
38,2022-09-14 19:01:03+00:00,https://twitter.com/CryptoKoalaBtc/status/1570125490047881220,CryptoKoalaBtc,Twitter Web App,"Miami, Florida ","Couldn't be more bullish on the @WarPigsToken #WPT $WPT #NFTs launch.

Especially since it got delayed, this just shows how much the team cares about delivering the best!
Don't miss this. @WPT_Investing  #eth https://t.co/1OypU3s0XB",13,7,0,11
39,2022-09-14 19:00:09+00:00,https://twitter.com/RetrospectApps/status/1570125266881740800,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1581.24$ | 0.24%
🕖-score 1.1269183673469385
📈Market View: 20.08 😀
📆24h: Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
40,2022-09-14 18:57:02+00:00,https://twitter.com/David15849019/status/1570124479812243457,David15849019,Twitter for iPhone,,"$eHive @EthereumHive bullish updates today

🐝ETH Secured for 3 Validators (nearly 4)
🐝Liquidity locked for 1 year
🐝1500+ Holders
🐝47%+ staked

Earn #passiveincome from #ETH 2.0 validators. 

The swarm is buzzing. Check out the Hive.

#defi $tsuka #amplifi $giga $ydf #altcoin",6,2,0,1
41,2022-09-14 18:55:33+00:00,https://twitter.com/hc_trades/status/1570124107534204928,hc_trades,Twitter Web App,Alpha Quadrant,"$eHive @EthereumHive bullish updates today

🐝ETH Secured for 3 Validators (nearly 4)
🐝Liquidity locked for 1 year
🐝1500+ Holders
🐝47%+ staked

Earn #passiveincome from #ETH 2.0 validators. 

The swarm is buzzing. Check out the Hive.

#defi $tsuka #amplifi $giga $ydf #altcoin https://t.co/5FYKn4uT6m",48,20,0,8
42,2022-09-14 18:55:30+00:00,https://twitter.com/CryptoMoonMag/status/1570124094435168257,CryptoMoonMag,TweetDeck,Australia,"10 hours until 'The Merge' #Ethereum !

Will #ETH be bullish or bearish after this?

What do you guys think?

https://t.co/hCk8HE5TEP

#EthereumMerge #Ethereum",4,2,0,1
43,2022-09-14 18:39:31+00:00,https://twitter.com/Prieur1998/status/1570120072286572545,Prieur1998,Twitter Web App,,@rovercrc so am I! I feel bullish on #ETH,0,0,0,0
44,2022-09-14 18:27:24+00:00,https://twitter.com/RgCryptotrade/status/1570117025174806532,RgCryptotrade,Twitter Web App,France,"Je vous rajoute l'évolution du prix d'#Ethereum en 1H. 
Une belle zone de combat s'est installée juste au-dessus des niveaux clés.
Aucun signe de dynamique haussière, par conséquent le scénario Bearish d'hier est d'actualité. #EthereumMerge  #ETH https://t.co/CZMZMwKup0",1,0,0,1
45,2022-09-14 18:27:02+00:00,https://twitter.com/renrutts/status/1570116932463902730,renrutts,Twitter Web App,,"judging from my careful analysis the green car seems to merge in front of the red car meaning the merge is indeed bullish, ama #eth https://t.co/FCmVW6aadH",6,0,0,2
46,2022-09-14 18:02:24+00:00,https://twitter.com/checkNFT_io/status/1570110732888334339,checkNFT_io,Twitter Web App,Web 3.0 aka #Metaverse,"2/ Doodles collection has seen 4.5K #ETH suspicious sales volume in the last year. The interest among scammers increased during the market crash. The chart below shows the number of suspicious transactions, so the most active month was May 2022. #CryptoNews #NftColllector #doodle https://t.co/tVGbyWcl5F",2,0,0,1
47,2022-09-14 18:01:12+00:00,https://twitter.com/stablehouse/status/1570110430311514112,stablehouse,Typefully,,"In other words, he believes given the huge structural change in #ETH's issuance (dropping 90%), prices will go up.

The increase in prices leads to an adoption flywheel, which leads to even higher prices. 

Therefore, the Merge may be very bullish for #ETH and its ecosystem.",0,0,0,1
48,2022-09-14 18:00:07+00:00,https://twitter.com/RetrospectApps/status/1570110158742716419,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1595.36$ | -1.59%
🕖-score 6.960436493028169
📈Market View: 21.05 😀
📆24h: Bullish 🐂

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
49,2022-09-14 17:54:09+00:00,https://twitter.com/MoleRatts/status/1570108657534377985,MoleRatts,Twitter Web App,,"#ETHMerge incoming! Y'all ready? I think this will be a huge gamechanger for #Crypto in general. Don't think that #ETH will pump hard if it is successful, just think it is very bullish for the longer time frame. Market will be volatile tho",0,0,0,1
50,2022-09-14 17:52:55+00:00,https://twitter.com/Cakebaba1/status/1570108345125851137,Cakebaba1,Twitter Web App,,@rovercrc I'm also very bullish on #ETH,1,0,0,0
51,2022-09-14 17:34:21+00:00,https://twitter.com/MMA122020/status/1570103675300847617,MMA122020,Twitter for iPhone,The Moon,Best TAs expecting a mega crash after #Eth merge while few of them expecting a bull run 😂 have a plan for both scenarios,0,0,0,0
52,2022-09-14 17:30:00+00:00,https://twitter.com/Sol_hashira/status/1570102579916410880,Sol_hashira,Twitter for Android,,"2) I don't wanna sound pessimistic But i just don't see it happening. The macros are still gonna be the same, inflation is at an ath, interest rates are still high, cpi data is still bearish, feds continues to hike interest rates.
#ETH #nfts #ETHMerge #ethereum #crypto",3,0,1,1
53,2022-09-14 17:28:27+00:00,https://twitter.com/Deanicide/status/1570102187312676864,Deanicide,Twitter for Android,Earth,Scalp long $ETH very negative funding + #ETH Spot CVD bullish https://t.co/VDJlJgrQvb,1,0,0,1
54,2022-09-14 17:17:45+00:00,https://twitter.com/Temple_Crypto/status/1570099495773376514,Temple_Crypto,Twitter Web App,Switzerland ,"💳#ETH Guys, sorry, I was distracted by other crypto business! 

On the eve of tomorrow's merge, I noticed a bearish structure on Ethereum and opened a short position. Moreover, the price is currently fixed below the mirror level. https://t.co/9F6gRHYbQd",3,0,1,4
55,2022-09-14 17:08:11+00:00,https://twitter.com/web3AGORAZ/status/1570097090218414082,web3AGORAZ,Twitter for iPhone,web3,"#EthereumMerge is about to start in few hours

Some people are bullish on it, some others are bearish on it 

What do y’all think about that #ETH 2.0 aka #ETHMerge ?",0,0,0,1
56,2022-09-14 17:00:04+00:00,https://twitter.com/RetrospectApps/status/1570095045973352449,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1591.97$ | -0.99%
🕖-score -7.901526501766784
📈Market View: 7.0 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
57,2022-09-14 16:59:38+00:00,https://twitter.com/CrisPot6/status/1570094935252291585,CrisPot6,Twitter Web App,,"Any bullish crypto people in here?

My bull wanna find a project, haha 

#Crypto #BTCUSDT #ETH #Cryptocurency #LuffyToken",11,0,0,1
58,2022-09-14 16:49:32+00:00,https://twitter.com/GoonBoyCrypto/status/1570092396280520706,GoonBoyCrypto,Twitter for iPhone,"England, United Kingdom","Thank me later 🤑

DarkStar Token on ETH

0xf2ab89a00f52e235ff2f4db3e7235bc68ea9e447

- stealth launched less than 5 days ago
- practically zero promo !!! YET 
- no socials !!! YET
- Bullish AF 🦾🦾🦾
#ETH #Ethereum #EthereumMerge #Crypto https://t.co/PEyI5Pzvxq",0,0,0,2
59,2022-09-14 16:49:20+00:00,https://twitter.com/BlessingWinner3/status/1570092345491886080,BlessingWinner3,Twitter Web App,,@UnidefTimes This is bloody!! Hoping for bullish days.#unidef #eth,11,2,0,0
60,2022-09-14 16:48:17+00:00,https://twitter.com/MaxiCartell/status/1570092079447175168,MaxiCartell,Twitter for iPhone,Ethereum Classic is OG ,Bullish on @ETCZuki &amp; @ClassicDao  🫶🥳🔥 #ETH  #EthereumClassic  $ETC  #ETHMerge,1,0,0,0
61,2022-09-14 16:27:36+00:00,https://twitter.com/B055Lady_Elle/status/1570086873476759554,B055Lady_Elle,Twitter for Android,🇵🇹,"@hc_capital @BabyDogeCoin @RealFlokiInu @POODLETOKEN @yooshi_official @KibaInuWorld @Marvin_Inu @catecoin @RichQuack @thecakemnstr @_hamster_coin $poodl bullish af

#Crypto #NFTCommunity #Metaverse #BSC #ETH https://t.co/nYFBIHNXlv",5,2,0,2
62,2022-09-14 16:23:43+00:00,https://twitter.com/bitcoinagile/status/1570085898091638784,bitcoinagile,bitcoinagile,Matter Doesn't Matter,H1 bearish continuation pattern ETHUSD for COINBASE:ETHUSD by Mike_Kabila #ETH $ETH https://t.co/vULNMNeuaS https://t.co/KMIdYJS1Xr,0,0,0,0
63,2022-09-14 16:18:43+00:00,https://twitter.com/DwitamaRidho/status/1570084641683668993,DwitamaRidho,Twitter Web App,,"#ETH prize is gonna be bullish 🚀🚀

Win 1 ETH and Learn All About The Upcoming ETH Merge With the Official CoinMarketCap Merge Quiz!💰 https://t.co/L4fZp5FVEO #CMCETHMerge #ETHMerge",0,0,0,0
64,2022-09-14 16:15:10+00:00,https://twitter.com/HB_VOLT_7827/status/1570083748124950528,HB_VOLT_7827,Twitter for Android,"Anchorage, AK",All day we $VOLT!!! All night we #VOLT!!! Let's get it with $VOLT!!! Load up on #VOLT!!! Offense like $VOLT!!! Defense with #VOLT!!! #VOLTINU #VOLTARMY #VOLTISOFT #VOLTICHANGE #VOLTIECO #1000xgem #HODL #Bullish @EverRise @ElonGoatToken #croeffect #CRO #OKX #Binance #KuCoin #ETH,9,7,0,0
65,2022-09-14 16:00:34+00:00,https://twitter.com/premium5deluxe/status/1570080070768947200,premium5deluxe,Twitter for Android,Beach,Is merge bullish or bullshit? #merge #eth #EthereumMerge #Ethereum,0,0,0,0
66,2022-09-14 16:00:10+00:00,https://twitter.com/RetrospectApps/status/1570079969342296065,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1595.33$ | 0.11%
🕖-score -4.583878795349028
📈Market View: 13.6 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
67,2022-09-14 15:59:21+00:00,https://twitter.com/loops_589_time/status/1570079767587885056,loops_589_time,Twitter for iPhone,,I’m predicting the #ETH merge has a hang up and freezes all fiat on/off ramps. Then XRP go up and markets crash. ICE-9 🧊💵 Perfect timing with riddler warnings and court case rulings. @ExtraVOD_,189,15,5,17
68,2022-09-14 15:41:11+00:00,https://twitter.com/iamLewcid/status/1570075192516386825,iamLewcid,Twitter for iPhone,"ᴛʀᴇᴇ ᴄɪᴛʏ, ɴᴇᴡ ʏᴏʀᴋ","CT went from 99% bullish a month ago to 99% bearish today. The masses are normally wrong, CPI was just a master class on that. Holding my #ETH with a PT $1900-$2000 #EthereumMerge",0,0,0,0
69,2022-09-14 15:36:08+00:00,https://twitter.com/BitFinsider/status/1570073923710066689,BitFinsider,Blog2Social APP,,"Where Can I Exchange ETH and the Forked tokens After the Merge?

#EthereumMerge #ETHMerge #ETH #Ethereum #ProEX
@ExchangePro_ #Bullish #HardFork #Cryptocurrency #Staking

https://t.co/Zyq5SvsGTB https://t.co/3xWewaafbX",0,0,0,1
70,2022-09-14 15:30:25+00:00,https://twitter.com/Slim_Vezzy/status/1570072484627582978,Slim_Vezzy,Twitter for Android,Memphis Tennessee ,"Power In Your Plans...

#VezzyWorld 👽🖖🏿💯 #work #business #budget #plan #objective #goals #stocks #crypto #mindset #investing #strategy #justdoit #rich #motivation #money #silver #eth #etf #bonds #stockmarket #crash  #success #rewards #practice #progress",1,0,0,1
71,2022-09-14 15:27:36+00:00,https://twitter.com/paschal_nwankw0/status/1570071776142696449,paschal_nwankw0,Twitter for Android,,@justnfteees The eth merge is likely to increase the value of #Eth which might make the #eth ecosystem Bullish 💹,0,0,0,0
72,2022-09-14 15:27:08+00:00,https://twitter.com/mark_ahat/status/1570071657972367360,mark_ahat,Twitter Web App,,"namiss ko mag  T.A tapos na ang bakasyon =)
Bullish for short term ..

#EthereumMerge 
#ETH https://t.co/e4bXGCVp8r",0,0,0,1
73,2022-09-14 15:00:09+00:00,https://twitter.com/RetrospectApps/status/1570064869600251906,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1597.38$ | 0.2%
🕖-score -7.974742014742015
📈Market View: 6.73 😀
📆24h: Somewhat Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
74,2022-09-14 14:53:15+00:00,https://twitter.com/SnoopMinerETH/status/1570063131279347713,SnoopMinerETH,Twitter for iPhone,,It will be #bullish as #METAMINER is going to change the #crypto world as we have #NFTS that will mine #ETH And we are headed to the #Metaverse in a couple weeks.  Our #BlueChipNFT partners @ApeStarLine and we are embarking on a powerhouse of a journey!  Don’t miss it!!!!🦍🌟⚒️💯 https://t.co/AM8j7ju2zz,11,8,0,5
75,2022-09-14 14:34:19+00:00,https://twitter.com/BrilloGP/status/1570058364826308609,BrilloGP,Twitter Web App,Metaverse,#UNI at 6.00 #Bullish on trend (Pullback). Probable target at 6.50 (20MA) with dip to local LOWS for support retest #Uniswap #Layer2 #ETH #Merge #PoS #Staking #DEX #DEFI #FOMO https://t.co/GohecDADYc,2,1,0,1
76,2022-09-14 14:23:53+00:00,https://twitter.com/upsetonly/status/1570055741028945926,upsetonly,Twitter for iPhone,Edgeville,"So let’s get this straight , we just buy #ETH and let it be bullish into the merge?

NEVER that simple, like I’ve been saying.",4,0,0,0
77,2022-09-14 14:00:14+00:00,https://twitter.com/RetrospectApps/status/1570049788862943234,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1600.09$ | -0.09%
🕖-score -3.3830037359900373
📈Market View: 15.8 😀
📆24h: Very Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
78,2022-09-14 13:55:06+00:00,https://twitter.com/Cryptogamez_/status/1570048496966971397,Cryptogamez_,Twitter for iPhone,,"IT’S OFFICIAL!!!!! ⭐️⭐️⭐️
I’ve created a much needed new crypto term #mooish

Bearish 🐻
Mooish 🐄 ✅
Bullish 🐂

Means you like a project but your not yet 100%, DYOR, etc 🤓

RT this new alpha for shaww😁

@yournftmom #NFT #NFTCommunity #NFTartist #crypto #cryptocurrency #ETH https://t.co/laPJuhewxe",2,0,0,6
79,2022-09-14 13:37:48+00:00,https://twitter.com/MELOWILD/status/1570044144135081985,MELOWILD,Twitter Web App,#metaverse,"#Ethereum #merge happens in around 15 hours.

This is top 3 biggest #crypto event of all time.

Couldn't be more bullish on the #ETHmerge and #ETH ecosystem.

$ETH #ultrasound money #altcoin",6,1,1,6
80,2022-09-14 13:31:06+00:00,https://twitter.com/ourcryptotalk/status/1570042455659257857,ourcryptotalk,Twitter for Android,Get Access ➡️,"Some traders appear to hedge their #ETH bullish exposure in case the #EthereumMerge has any technical issues, driving the cost of holding bearish bets higher.",8,0,0,0
81,2022-09-14 13:07:46+00:00,https://twitter.com/BrilloGP/status/1570036587312058369,BrilloGP,Twitter Web App,Metaverse,#ETH at 1550 #Bullish on trend (Pullback). Probable target at 1700 with dip to local LOWS (50MA) for support retest #Ethereum #Layer1 #Merge #PoS #Staking #Metaverse #NFT #Web3 #FOMO https://t.co/ZPdFvx0lV6,1,1,0,2
82,2022-09-14 13:05:24+00:00,https://twitter.com/kratos_harmony/status/1570035988340310017,kratos_harmony,Twitter for iPhone,"California, US","#Ethereum Merge is HERE ( 0 days 16 hrs 17 mins - Estimated based on difficulty and hash rate) 
@ethereum is switching to Proof of Stake! #Bullish news for #PoS #Blockchain 🚀 $ONE #HarmonyONE #Crypto #ETH #ETHMerge https://t.co/XLiU7iJZQz",17,1,0,6
83,2022-09-14 13:00:06+00:00,https://twitter.com/RetrospectApps/status/1570034656149471232,RetrospectApps,Retrospect Tweets,Crypto Space,"⧫ HOURLY #ETH UPDATE ⧫

🪙1608.0$ | -2.29%
🕖-score -9.882484848484848
📈Market View: 0.53 😀
📆24h: Bearish 🐻

Follow for more! More info in bio 🔗 

#Analysis #Ethereum #Predictions #App #Tool",0,0,0,0
