,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob,Tweet_NLTK,Sentiment
16,2022-09-14 17:30:00+00:00,https://twitter.com/Sol_hashira/status/1570102579916410880,Sol_hashira,Twitter for Android,,"2) I don't wanna sound pessimistic But i just don't see it happening. The macros are still gonna be the same, inflation is at an ath, interest rates are still high, cpi data is still bearish, feds continues to hike interest rates.
ETH nfts ETHMerge ethereum crypto",3,0,1,1,0.861,"Sentiment(polarity=0.18666666666666668, subjectivity=0.355)",2 n't wan na sound pessimist n't see happen macro still gon na inflat ath interest rate still high cpi data still bearish fed continu hike interest rate eth nfts ethmerg ethereum crypto,positive
17,2022-09-09 20:01:37+00:00,https://twitter.com/shleep_well/status/1568328794012020736,shleep_well,Twitter Web App,,"Bullish on crypto for the next 2-ish weeks. Expecting good CPI, .75 from FED (expected so +). Then successful Merge. A lot of good events until the market comes back to reality. Long ETH in the meantime &amp; farming some defi shitcoins to dump as well",2,0,0,0,0.8542,"Sentiment(polarity=0.2857142857142857, subjectivity=0.4214285714285714)",bullish crypto next 2-ish week expect good cpi .75 fed expect success merg lot good event market come back realiti long eth meantim amp farm defi shitcoin dump well,positive
18,2022-09-08 10:46:05+00:00,https://twitter.com/khmerxbxboi/status/1567826604524720128,khmerxbxboi,Twitter Web App,Aesthetics of Calculations,"Like if you Bullish today but $TOPS need to go !!!
StockMarket stocks ETH Apple 
",0,0,0,0,0.8472,"Sentiment(polarity=0.0, subjectivity=0.0)",like bullish today top need go stockmarket stock eth appl,positive
19,2022-09-07 13:58:31+00:00,https://twitter.com/thecryptowizkid/status/1567512643421831173,thecryptowizkid,Twitter for iPhone,JUPITER 🌎,$Harm 👀🚀 this could easy 10X in a few days make sure to load up a bag 2% taxes either way 👌 join the telegram for updates  eth crypto bullish ,22,13,1,13,0.8415,"Sentiment(polarity=0.24444444444444446, subjectivity=0.6074074074074074)",harm 👀🚀 could easi 10x day make sure load bag 2 tax either way 👌 join telegram updat eth crypto bullish,positive
20,2022-09-09 23:17:32+00:00,https://twitter.com/SnoopMinerETH/status/1568378097850003456,SnoopMinerETH,Twitter for iPhone,,"    METAMINER has always felt great….best….different.  Maybe it’s the DoxxedTeam maybe it’s the family In community, but it very well could be the utility staking farming rewards and NFT that mine ETH in the Metaverse bullish  is so bluechip 🔥🚀🚀🚀💎✋",8,3,0,0,0.8411,"Sentiment(polarity=0.2, subjectivity=0.3)",metamin alway felt great….best….differ mayb ’ doxxedteam mayb ’ famili communiti well could util stake farm reward nft mine eth metavers bullish bluechip 🔥🚀🚀🚀💎✋,positive
21,2022-09-09 19:07:27+00:00,https://twitter.com/majesticboss55/status/1568315161521307649,majesticboss55,Twitter for iPhone,United States,If you are into passive income you might want to do yourself a favor and check out CheemsInu … they have income from the Metaverse P2E game and NFT holders receive a share from CheemsPad revenue 😎📈 Bullish PassiveIncome money cryptocurrency AVAX ETH BSC 1000xgem,91,32,0,31,0.8402,"Sentiment(polarity=-0.4, subjectivity=0.4)",passiv incom might want favor check cheemsinu … incom metavers p2e game nft holder receiv share cheemspad revenu 😎📈 bullish passiveincom money cryptocurr avax eth bsc 1000xgem,positive
22,2022-09-13 15:00:02+00:00,https://twitter.com/BitMart_Futures/status/1569702451367874561,BitMart_Futures,Twitter Web App,Global,"ETHMerge in 2 days! Are you bullish on ETH🚀 
We are launching ETH 2.0 Futures Trading Contest, with 50,000 USDT rewards 

Make sure you sign up 👉

✅Follow _Futures
✅&amp; Tag 5 friends

More Info: 
cryptoworld ",152,91,31,124,0.8313,"Sentiment(polarity=0.5, subjectivity=0.6944444444444444)","ethmerg 2 day bullish eth🚀 launch eth 2.0 futur trade contest 50,000 usdt reward make sure sign 👉 ✅follow _futur ✅ amp tag 5 friend info cryptoworld",positive
23,2022-09-07 23:15:16+00:00,https://twitter.com/PhizComms/status/1567652754256003074,PhizComms,Twitter for iPhone,,Bullish on: 1.  (major update coming) 2. _of_SOL (profit share/community) 3.  (great leadership and community) 4. _BFGs (online sports book profits distributed to holders) 5.   by  What am I missing? AVAX SolanaNFT ETH ,25,12,0,10,0.8271,"Sentiment(polarity=0.22083333333333335, subjectivity=0.43333333333333335)",bullish 1 major updat come 2 _of_sol profit share/commun 3 great leadership communiti 4 _bfgs onlin sport book profit distribut holder 5. miss avax solananft eth,positive
24,2022-09-12 16:37:40+00:00,https://twitter.com/kratos_harmony/status/1569364634645446658,kratos_harmony,Twitter for iPhone,"California, US",". Total Network Stake now hit 5.427 BILLION / 5,427,217,058 $ONE, &amp; is definitely on rise 🔥 200M+ added in past months 📈 Staking is truly believing in the project 💙 HarmonyONE builders, Let’s keep building &amp; innovating! Bullish BUIDL HODL Crypto ETH ",39,3,0,4,0.8268,"Sentiment(polarity=-0.10416666666666667, subjectivity=0.5)","total network stake hit 5.427 billion 5,427,217,058 one amp definit rise 🔥 200m+ ad past month 📈 stake truli believ project 💙 harmonyon builder let ’ keep build amp innov bullish buidl hodl crypto eth",positive
25,2022-09-11 12:47:32+00:00,https://twitter.com/kratos_harmony/status/1568944329586245634,kratos_harmony,Twitter for iPhone,"California, US",". Total Network Stake now hit 5.425 BILLION / 5,425,773,849 $ONE, &amp; is definitely on rise 🔥 200M+ added in past months 📈 Staking is truly believing in the project 💙 HarmonyONE builders, Let’s keep building &amp; innovating! Bullish BUIDL HODL Crypto ETH ",35,5,0,2,0.8268,"Sentiment(polarity=-0.10416666666666667, subjectivity=0.5)","total network stake hit 5.425 billion 5,425,773,849 one amp definit rise 🔥 200m+ ad past month 📈 stake truli believ project 💙 harmonyon builder let ’ keep build amp innov bullish buidl hodl crypto eth",positive
26,2022-09-09 14:41:57+00:00,https://twitter.com/BullMarketGainz/status/1568248347416207364,BullMarketGainz,Twitter Web App,"Ottawa, Ontario","Update on ST ETH Trade
My 1st TP level hit successfully @ $1725. I've decided to increase the 2nd TP level from $1750 to $1830 because the 9SMA is about to cross the 300 on the 4HR chart, which is bullish. The cross will occur @ 12PM EST. 
cryptocurrency 
😎🎯👇 ",0,0,0,0,0.8176,"Sentiment(polarity=0.1875, subjectivity=0.2375)",updat st eth trade 1st tp level hit success 1725 ve decid increas 2nd tp level 1750 1830 9sma cross 300 4hr chart bullish cross occur 12pm est cryptocurr 😎🎯👇,positive
27,2022-09-14 17:54:09+00:00,https://twitter.com/MoleRatts/status/1570108657534377985,MoleRatts,Twitter Web App,,"ETHMerge incoming! Y'all ready? I think this will be a huge gamechanger for Crypto in general. Don't think that ETH will pump hard if it is successful, just think it is very bullish for the longer time frame. Market will be volatile tho",0,0,0,1,0.8172,"Sentiment(polarity=0.22976190476190478, subjectivity=0.5273809523809524)",ethmerg incom y'all readi think huge gamechang crypto general n't think eth pump hard success think bullish longer time frame market volatil tho,positive
28,2022-09-11 20:17:06+00:00,https://twitter.com/EseWilliams5/status/1569057467031511042,EseWilliams5,Twitter Web App,"Lagos, Nigeria"," I'm very bullish on  $GAZE should be there. This gem is doing great ATM!

GazeTV is one SocialMedia Entertainment platform that pays both ContentCreator &amp; Users for using their platform &amp; it's very transparent!



ETH NFTs Gazers BSC",1,0,0,0,0.8168,"Sentiment(polarity=0.48333333333333334, subjectivity=0.45)",'m bullish gaze gem great atm gazetv one socialmedia entertain platform pay contentcr amp user use platform amp 's transpar eth nfts gazer bsc,positive
29,2022-09-13 06:46:05+00:00,https://twitter.com/CryptoCommandr/status/1569578141773086723,CryptoCommandr,Twitter for iPhone,Wall Street,"Funding rates on ETC turned positive, showing a strong demand for leveraged longs positions. They have remained positive to neutral throughout last week. Meanwhile, ETH’s rates are well into negative territory, suggesting a combination of bearish sentiment and heavy hedging.
3/5",2,0,0,1,0.8126,"Sentiment(polarity=0.06464646464646465, subjectivity=0.46515151515151515)",fund rate etc turn posit show strong demand leverag long posit remain posit neutral throughout last week meanwhil eth ’ rate well negat territori suggest combin bearish sentiment heavi hedg 3/5,positive
30,2022-09-11 16:37:40+00:00,https://twitter.com/iamqueeninu/status/1569002242963013634,iamqueeninu,Twitter Web App,Worldwide! ,Going to ape in a new token launching today. Don't know the devs but I like the logo and concept. Can you imagine investing because a logo looks bullish. Nuts. 😅😂 Cryptocurency ETH GEM,5,0,0,3,0.8126,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",go ape new token launch today n't know dev like logo concept imagin invest logo look bullish nut 😅😂 cryptocur eth gem,positive
31,2022-09-10 19:36:54+00:00,https://twitter.com/OladayoAjala1/status/1568684964069130247,OladayoAjala1,Twitter for Android,Oyo,"I believe The ETHMerge will bullish eth and the upgrade will make the community strong and reliable. _flash23  
CMCETHMerge  Win 1 ETH and Learn All About The Upcoming ETH Merge With the Official CoinMarketCap Merge Quiz!💰  CMCETHMerge",0,0,0,0,0.8122,"Sentiment(polarity=0.6166666666666667, subjectivity=0.5666666666666667)",believ ethmerg bullish eth upgrad make communiti strong reliabl _flash23 cmcethmerg win 1 eth learn upcom eth merg offici coinmarketcap merg quiz 💰 cmcethmerg,positive
32,2022-09-14 16:18:43+00:00,https://twitter.com/DwitamaRidho/status/1570084641683668993,DwitamaRidho,Twitter Web App,,"ETH prize is gonna be bullish 🚀🚀

Win 1 ETH and Learn All About The Upcoming ETH Merge With the Official CoinMarketCap Merge Quiz!💰  CMCETHMerge ETHMerge",0,0,0,0,0.8122,"Sentiment(polarity=0.8, subjectivity=0.4)",eth prize gon na bullish 🚀🚀 win 1 eth learn upcom eth merg offici coinmarketcap merg quiz 💰 cmcethmerg ethmerg,positive
33,2022-09-09 16:53:14+00:00,https://twitter.com/dillinjah_/status/1568281385097388033,dillinjah_,Twitter Web App,,"When one of the biggest and best artists on the scene goes out of their way to show respect.....

Bullish af.  
 
pixelart RiseandShine GenuineUndead UndeadArmy BestPixelArt2022 eth nfts",7,2,1,3,0.8074,"Sentiment(polarity=1.0, subjectivity=0.3)",one biggest best artist scene goe way show respect ..... bullish af pixelart riseandshin genuineundead undeadarmi bestpixelart2022 eth nfts,positive
34,2022-09-14 09:58:48+00:00,https://twitter.com/joyhodling/status/1569989028992413696,joyhodling,Twitter Web App,Australia,"The super oversold $ETH is aiming for $3191 to start with &amp; then $4400+. As circled, a similar situation around the end of 2018 was also present. Anyone buying at that time ended up with a generational opportunity. I believe Ethereum is in such a state! 

I am bullish on ETH! ",1,0,0,2,0.8065,"Sentiment(polarity=0.08333333333333333, subjectivity=0.39166666666666666)",super oversold eth aim 3191 start amp 4400+ circl similar situat around end 2018 also present anyon buy time end generat opportun believ ethereum state bullish eth,positive
35,2022-09-09 23:14:03+00:00,https://twitter.com/SnoopMinerETH/status/1568377222662078465,SnoopMinerETH,Twitter for iPhone,," METAMINER has always felt great….best….different.  Maybe it’s the DoxxedTeam maybe it’s the family In community, but it very well could be the utility staking farming rewards and NFT that mine ETH in the Metaverse bullish bluechip partner with  💪❤️ ",9,5,0,3,0.8042,"Sentiment(polarity=0.2, subjectivity=0.3)",metamin alway felt great….best….differ mayb ’ doxxedteam mayb ’ famili communiti well could util stake farm reward nft mine eth metavers bullish bluechip partner 💪❤️,positive
36,2022-09-10 18:02:42+00:00,https://twitter.com/berrycrypt/status/1568661255799414785,berrycrypt,Twitter for iPhone,The Cosmos universe,"▪️cheap and faster fees than ETH
▪️ compatible 
▪️ no network conjestion

(  x  ) ❤️💚💜

Bring ETH to cosmos using EVMOS

 is bullish👀

$EVMOS",57,11,0,8,0.802,"Sentiment(polarity=0.0, subjectivity=0.0)",▪️cheap faster fee eth ▪️ compat ▪️ network conjest x ❤️💚💜 bring eth cosmos use evmo bullish👀 evmo,positive
37,2022-09-07 22:33:42+00:00,https://twitter.com/YouseyC1/status/1567642291501932544,YouseyC1,Twitter for iPhone,," SD (Shib Dragon)

Check the website, it states you can gain access to larps and alpha projects. Bullish utility play. Don't fade, this is a milly play. 

Chart: …

Telegram: 

HEX SHIBA TSUKA 1000XGEM ETH",0,0,0,0,0.802,"Sentiment(polarity=0.0, subjectivity=0.0)",sd shib dragon check websit state gain access larp alpha project bullish util play n't fade milli play chart … telegram hex shiba tsuka 1000xgem eth,positive
38,2022-09-13 14:18:06+00:00,https://twitter.com/rajibbiswas328/status/1569691896355897344,rajibbiswas328,Twitter for Android,,"crypto fam very good morning to you all...
Wishing you a prosperous day ahead 🚀🚀
crypto bullish ETH",0,0,0,1,0.8016,"Sentiment(polarity=0.9099999999999999, subjectivity=0.7800000000000001)",crypto fam good morn ... wish prosper day ahead 🚀🚀 crypto bullish eth,positive
39,2022-09-14 03:39:21+00:00,https://twitter.com/NFTyDLuffy/status/1569893537193332738,NFTyDLuffy,Twitter for Android,"Colorado, USA","Over all I'm still bullish on eth and crypto, I'm encouraged by the NFT integration to corporate businesses with the Starbucks news recently. We just have a lot going on in the world and we need time to let it figure itself out. Great accumulation time is now!! WGMI NFA ETH",1,0,0,0,0.8011,"Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)",'m still bullish eth crypto 'm encourag nft integr corpor busi starbuck news recent lot go world need time let figur great accumul time wgmi nfa eth,positive
40,2022-09-14 19:01:03+00:00,https://twitter.com/CryptoKoalaBtc/status/1570125490047881220,CryptoKoalaBtc,Twitter Web App,"Miami, Florida ","Couldn't be more bullish on the  WPT $WPT NFTs launch.

Especially since it got delayed, this just shows how much the team cares about delivering the best!
Don't miss this. _Investing  eth ",13,7,0,11,0.7927,"Sentiment(polarity=0.425, subjectivity=0.5)",could n't bullish wpt wpt nfts launch especi sinc got delay show much team care deliv best n't miss _invest eth,positive
41,2022-09-08 09:25:47+00:00,https://twitter.com/CryptoCacs/status/1567806393113092096,CryptoCacs,Twitter for iPhone,"Amsterdam, Nederland","CryptoCacs 🌵 OpenZoo ↔️ opensea this is SUPER BULLISH!
Be ready in OCTOBER🔥 i will MINT alot of new Cacs🌵Spread the word and be ready to ape in this limited collection of only 500!👀 the first 200 SOLD ALREADY!
eth $Zoo ZooKeeper ethereum nft nfts avax merge Crypto ",29,3,0,5,0.7896,"Sentiment(polarity=0.17058596165739023, subjectivity=0.5139146567717996)",cryptocac 🌵 openzoo ↔️ opensea super bullish readi october🔥 mint alot new cacs🌵spread word readi ape limit collect 500 👀 first 200 sold alreadi eth zoo zookeep ethereum nft nfts avax merg crypto,positive
42,2022-09-10 15:30:00+00:00,https://twitter.com/CryptoBallZ_/status/1568622828546670596,CryptoBallZ_,Twitter Web App,,"EHIVE Update:

Like i thought, another breakout, the chart looked so bullish i just had to call it! If you grabbed a bag you are now at around a 1,5x again! Looks like this one will stick around a while! (;

ETH Ethereum 100x altcoins crypto ape ",2,2,0,3,0.7891,"Sentiment(polarity=0.0, subjectivity=0.0)","ehiv updat like thought anoth breakout chart look bullish call grab bag around 1,5x look like one stick around eth ethereum 100x altcoin crypto ape",positive
43,2022-09-07 05:32:08+00:00,https://twitter.com/QDiepeveen/status/1567385204909809673,QDiepeveen,Typefully,"Beursplein 5, Amsterdam","The day may be a sell event, but longterm ETH has never been more bullish! But act cautiously, given Macro is of great influence.

",11,0,0,1,0.7871,"Sentiment(polarity=0.7125, subjectivity=0.625)",day may sell event longterm eth never bullish act cautious given macro great influenc,positive
44,2022-09-12 16:19:00+00:00,https://twitter.com/EthereumWest/status/1569359935514808320,EthereumWest,Twitter for iPhone,"Los Angeles, CA",Just a retest of $1700 support. Perfectly bullish 🚀🚀🚀 eth,0,0,0,0,0.7845,"Sentiment(polarity=1.0, subjectivity=1.0)",retest 1700 support perfect bullish 🚀🚀🚀 eth,positive
45,2022-09-13 13:46:01+00:00,https://twitter.com/2bb_art/status/1569683822475710464,2bb_art,Twitter for Android,," $KURAGE and $KOYANE, both about to explode! $KURAGE, first ever meme to launch on all major chains. ETH now, BSC today. More following, perfect entry. $KOYANE, only 80k supply and deflationary. Big names behind it, website release within 24 hours or so. Both huge opps!",5,1,0,2,0.7822,"Sentiment(polarity=0.21250000000000002, subjectivity=0.5703703703703704)",kurag koyan explod kurag first ever meme launch major chain eth bsc today follow perfect entri koyan 80k suppli deflationari big name behind websit releas within 24 hour huge opp,positive
46,2022-09-12 07:51:06+00:00,https://twitter.com/RedLightMuzik/status/1569232119226073089,RedLightMuzik,Twitter Web App,chillin somewhere,"and we got a weekly bullish cross on $ETH 🥳🥳🥳

First bullish cross since April 2020

ETHMerge ETH ETHUSDT ",1,0,0,0,0.7783,"Sentiment(polarity=0.08333333333333333, subjectivity=0.1111111111111111)",got week bullish cross eth 🥳🥳🥳 first bullish cross sinc april 2020 ethmerg eth ethusdt,positive
47,2022-09-09 14:55:17+00:00,https://twitter.com/Crosswolfxx/status/1568251704176517125,Crosswolfxx,Twitter for iPhone,"Kentucky, USA",Tweet 143 verified Please verify  The World is Watching and our 400k followers!👀👀 SaitamaWolfPack‌4Life SaitaPro SaitaRealty SaitamaTechnologyLLC Bullish CryptocurrencyNews DeFi Diversity DiamondHands DYOR Verified ETH EagleFC StrongerTogether HODL ,43,18,1,0,0.7777,"Sentiment(polarity=0.0, subjectivity=0.0)",tweet 143 verifi pleas verifi world watch 400k follow 👀👀 saitamawolfpack‌4lif saitapro saitarealti saitamatechnologyllc bullish cryptocurrencynew defi divers diamondhand dyor verifi eth eaglefc strongertogeth hodl,positive
48,2022-09-08 22:48:08+00:00,https://twitter.com/papa_woody21/status/1568008313945878528,papa_woody21,Twitter for iPhone,Cardiff By The Sea.,MIKOTO AMA So Bullish. This Roadmap Shows That We Have JUST GOTTEN STARTED. Thanks To This Amazing Community. ETH altcoin 1000xgem memecoin Cryptocurency TG:::  ,39,21,0,26,0.7717,"Sentiment(polarity=0.4, subjectivity=0.55)",mikoto ama bullish roadmap show gotten start thank amaz communiti eth altcoin 1000xgem memecoin cryptocur tg,positive
49,2022-09-11 11:15:25+00:00,https://twitter.com/CryptoSignalMs/status/1568921147051212801,CryptoSignalMs,Zapier.com,,"💸💎 ETH - 🔹SIGNAL🔹 Our Trends report bullish reversal signals (buying opportunity) for $ETH at Price 1761.5989427842264 

🔁 Retweet if I'm helping you make some money!

🟢 Learn More:  ",0,0,0,1,0.7712,"Sentiment(polarity=0.5, subjectivity=0.5)",💸💎 eth 🔹signal🔹 trend report bullish revers signal buy opportun eth price 1761.5989427842264 🔁 retweet 'm help make money 🟢 learn,positive
50,2022-09-12 14:47:32+00:00,https://twitter.com/majesticboss55/status/1569336917845594113,majesticboss55,Twitter for iPhone,United States,Cheems hype is building!!! I suggest you ape a nice bag before takeoff 😎📈 Crypto 1000xgem Metaverse NFT ETH BSC AVAX BULLISH DeFi P2E,125,47,5,41,0.7701,"Sentiment(polarity=0.6, subjectivity=1.0)",cheem hype build suggest ape nice bag takeoff 😎📈 crypto 1000xgem metavers nft eth bsc avax bullish defi p2e,positive
