,Unnamed: 0,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count,compoundVader,compoundTextBlob
10,506,2022-09-10 19:02:54+00:00,https://twitter.com/beckynerve/status/1568676406401409026,beckynerve,Twitter for Android,," Yes I 'm always bullish on #ETH and $ZGD  which is a crypto currency backed by real gold, real people and real mining procedure with value.

I will need to get more of  on Bitmart so as to hold for the bullish reward which is at hand.",0,0,0,0,0.9022,"Sentiment(polarity=0.275, subjectivity=0.35000000000000003)"
11,484,2022-09-10 23:52:47+00:00,https://twitter.com/CryptoKevinnnn/status/1568749359302414337,CryptoKevinnnn,Twitter Web App,USA,$MUSHI chart looks bullish af! Only sitting around 55K MC so super early on this one. Dev has been doing buybacks and burns and adding to LP also. Community is strong too! Dont sleep on it and get left behind! #ETHMERGE #ETH #100xGem ,13,3,0,9,0.8798,"Sentiment(polarity=0.07916666666666666, subjectivity=0.5666666666666665)"
12,346,2022-09-12 12:13:33+00:00,https://twitter.com/KrispNaztyFarms/status/1569298164322115584,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR",  So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt #eth #WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,3,1,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)"
13,892,2022-09-07 17:31:29+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566238133387264,WaKeAiR_S_S,Twitter for Android,, So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt #eth #WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,2,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)"
14,532,2022-09-10 12:53:13+00:00,https://twitter.com/KrispNaztyFarms/status/1568583372422713344,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR", So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt #eth #WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,0,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)"
15,891,2022-09-07 17:32:01+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566370262360065,WaKeAiR_S_S,Twitter for Android,, So bullish on  bringing real world revenue and pumping it back into the ecosystem! $wpt #eth #WarPigsToken staking and farming rewards are just earning passive income. Sit back and enjoy the ride!! So much already and more to come.  Hard working dev has a vision!,1,0,0,0,0.8626,"Sentiment(polarity=0.1657738095238095, subjectivity=0.29166666666666663)"
16,52,2022-09-14 17:30:00+00:00,https://twitter.com/Sol_hashira/status/1570102579916410880,Sol_hashira,Twitter for Android,,"2) I don't wanna sound pessimistic But i just don't see it happening. The macros are still gonna be the same, inflation is at an ath, interest rates are still high, cpi data is still bearish, feds continues to hike interest rates.
#ETH #nfts #ETHMerge #ethereum #crypto",3,0,1,1,0.861,"Sentiment(polarity=0.18666666666666668, subjectivity=0.355)"
17,584,2022-09-09 20:01:37+00:00,https://twitter.com/shleep_well/status/1568328794012020736,shleep_well,Twitter Web App,,"Bullish on crypto for the next 2-ish weeks. Expecting good CPI, .75 from FED (expected so +). Then successful Merge. A lot of good events until the market comes back to reality. Long #ETH in the meantime &amp; farming some defi shitcoins to dump as well",2,0,0,0,0.8542,"Sentiment(polarity=0.2857142857142857, subjectivity=0.4214285714285714)"
18,770,2022-09-08 10:46:05+00:00,https://twitter.com/khmerxbxboi/status/1567826604524720128,khmerxbxboi,Twitter Web App,Aesthetics of Calculations,"Like if you Bullish today but $TOPS need to go !!!
#StockMarket #stocks #ETH #Apple 
",0,0,0,0,0.8472,"Sentiment(polarity=0.0, subjectivity=0.0)"
19,916,2022-09-07 13:58:31+00:00,https://twitter.com/thecryptowizkid/status/1567512643421831173,thecryptowizkid,Twitter for iPhone,JUPITER 🌎,$Harm 👀🚀 this could easy 10X in a few days make sure to load up a bag 2% taxes either way 👌 join the telegram for updates  #eth #crypto #bullish ,22,13,1,13,0.8415,"Sentiment(polarity=0.24444444444444446, subjectivity=0.6074074074074074)"
20,575,2022-09-09 23:17:32+00:00,https://twitter.com/SnoopMinerETH/status/1568378097850003456,SnoopMinerETH,Twitter for iPhone,,"    #METAMINER has always felt great….best….different.  Maybe it’s the #DoxxedTeam maybe it’s the #family In #community, but it very well could be the #utility #staking #farming #rewards and #NFT that mine #ETH in the #Metaverse #bullish  is so #bluechip 🔥🚀🚀🚀💎✋",8,3,0,0,0.8411,"Sentiment(polarity=0.2, subjectivity=0.3)"
21,593,2022-09-09 19:07:27+00:00,https://twitter.com/majesticboss55/status/1568315161521307649,majesticboss55,Twitter for iPhone,United States,If you are into passive income you might want to do yourself a favor and check out #CheemsInu … they have income from the #Metaverse #P2E game and #NFT holders receive a share from #CheemsPad revenue 😎📈 #Bullish #PassiveIncome #money #cryptocurrency #AVAX #ETH #BSC #1000xgem,91,32,0,31,0.8402,"Sentiment(polarity=-0.4, subjectivity=0.4)"
22,195,2022-09-13 15:00:02+00:00,https://twitter.com/BitMart_Futures/status/1569702451367874561,BitMart_Futures,Twitter Web App,Global,"#ETHMerge in 2 days! Are you #bullish on #ETH🚀 
We are launching ETH 2.0 Futures Trading Contest, with 50,000 USDT rewards 

Make sure you sign up 👉

✅Follow _Futures
✅&amp; Tag 5 friends

More Info: 
#cryptoworld ",152,91,31,124,0.8313,"Sentiment(polarity=0.5, subjectivity=0.6944444444444444)"
23,857,2022-09-07 23:15:16+00:00,https://twitter.com/PhizComms/status/1567652754256003074,PhizComms,Twitter for iPhone,,Bullish on: 1.  (major update coming) 2. _of_SOL (profit share/community) 3.  (great leadership and community) 4. _BFGs (online sports book profits distributed to holders) 5.   by  What am I missing? #AVAX #SolanaNFT #ETH ,25,12,0,10,0.8271,"Sentiment(polarity=0.22083333333333335, subjectivity=0.43333333333333335)"
24,318,2022-09-12 16:37:40+00:00,https://twitter.com/kratos_harmony/status/1569364634645446658,kratos_harmony,Twitter for iPhone,"California, US",". Total Network Stake now hit 5.427 BILLION / 5,427,217,058 $ONE, &amp; is definitely on rise 🔥 200M+ added in past months 📈 Staking is truly believing in the project 💙 #HarmonyONE builders, Let’s keep building &amp; innovating! #Bullish #BUIDL #HODL #Crypto #ETH ",39,3,0,4,0.8268,"Sentiment(polarity=-0.10416666666666667, subjectivity=0.5)"
25,446,2022-09-11 12:47:32+00:00,https://twitter.com/kratos_harmony/status/1568944329586245634,kratos_harmony,Twitter for iPhone,"California, US",". Total Network Stake now hit 5.425 BILLION / 5,425,773,849 $ONE, &amp; is definitely on rise 🔥 200M+ added in past months 📈 Staking is truly believing in the project 💙 #HarmonyONE builders, Let’s keep building &amp; innovating! #Bullish #BUIDL #HODL #Crypto #ETH ",35,5,0,2,0.8268,"Sentiment(polarity=-0.10416666666666667, subjectivity=0.5)"
26,620,2022-09-09 14:41:57+00:00,https://twitter.com/BullMarketGainz/status/1568248347416207364,BullMarketGainz,Twitter Web App,"Ottawa, Ontario","Update on ST #ETH Trade
My 1st TP level hit successfully @ $1725. I've decided to increase the 2nd TP level from $1750 to $1830 because the 9SMA is about to cross the 300 on the 4HR chart, which is bullish. The cross will occur @ 12PM EST. 
#cryptocurrency 
😎🎯👇 ",0,0,0,0,0.8176,"Sentiment(polarity=0.1875, subjectivity=0.2375)"
27,49,2022-09-14 17:54:09+00:00,https://twitter.com/MoleRatts/status/1570108657534377985,MoleRatts,Twitter Web App,,"#ETHMerge incoming! Y'all ready? I think this will be a huge gamechanger for #Crypto in general. Don't think that #ETH will pump hard if it is successful, just think it is very bullish for the longer time frame. Market will be volatile tho",0,0,0,1,0.8172,"Sentiment(polarity=0.22976190476190478, subjectivity=0.5273809523809524)"
28,404,2022-09-11 20:17:06+00:00,https://twitter.com/EseWilliams5/status/1569057467031511042,EseWilliams5,Twitter Web App,"Lagos, Nigeria"," I'm very bullish on  $GAZE should be there. This gem is doing great ATM!

#GazeTV is one #SocialMedia #Entertainment platform that pays both #ContentCreator &amp; Users for using their platform &amp; it's very transparent!



#ETH #NFTs #Gazers #BSC",1,0,0,0,0.8168,"Sentiment(polarity=0.48333333333333334, subjectivity=0.45)"
29,246,2022-09-13 06:46:05+00:00,https://twitter.com/CryptoCommandr/status/1569578141773086723,CryptoCommandr,Twitter for iPhone,Wall Street,"Funding rates on ETC turned positive, showing a strong demand for leveraged longs positions. They have remained positive to neutral throughout last week. Meanwhile, #ETH’s rates are well into negative territory, suggesting a combination of bearish sentiment and heavy hedging.
3/5",2,0,0,1,0.8126,"Sentiment(polarity=0.06464646464646465, subjectivity=0.46515151515151515)"
30,425,2022-09-11 16:37:40+00:00,https://twitter.com/iamqueeninu/status/1569002242963013634,iamqueeninu,Twitter Web App,Worldwide! ,Going to ape in a new token launching today. Don't know the devs but I like the logo and concept. Can you imagine investing because a logo looks bullish. Nuts. 😅😂 #Cryptocurency #ETH #GEM,5,0,0,3,0.8126,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)"
31,505,2022-09-10 19:36:54+00:00,https://twitter.com/OladayoAjala1/status/1568684964069130247,OladayoAjala1,Twitter for Android,Oyo,"I believe The #ETHMerge will bullish #eth and the upgrade will make the community strong and reliable. _flash23  
#CMCETHMerge  Win 1 ETH and Learn All About The Upcoming ETH Merge With the Official CoinMarketCap Merge Quiz!💰  #CMCETHMerge",0,0,0,0,0.8122,"Sentiment(polarity=0.6166666666666667, subjectivity=0.5666666666666667)"
32,63,2022-09-14 16:18:43+00:00,https://twitter.com/DwitamaRidho/status/1570084641683668993,DwitamaRidho,Twitter Web App,,"#ETH prize is gonna be bullish 🚀🚀

Win 1 ETH and Learn All About The Upcoming ETH Merge With the Official CoinMarketCap Merge Quiz!💰  #CMCETHMerge #ETHMerge",0,0,0,0,0.8122,"Sentiment(polarity=0.8, subjectivity=0.4)"
33,605,2022-09-09 16:53:14+00:00,https://twitter.com/dillinjah_/status/1568281385097388033,dillinjah_,Twitter Web App,,"When one of the biggest and best artists on the scene goes out of their way to show respect.....

Bullish af.  
 
#pixelart #RiseandShine #GenuineUndead #UndeadArmy #BestPixelArt2022 #eth #nfts",7,2,1,3,0.8074,"Sentiment(polarity=1.0, subjectivity=0.3)"
34,99,2022-09-14 09:58:48+00:00,https://twitter.com/joyhodling/status/1569989028992413696,joyhodling,Twitter Web App,Australia,"The super oversold $ETH is aiming for $3191 to start with &amp; then $4400+. As circled, a similar situation around the end of 2018 was also present. Anyone buying at that time ended up with a generational opportunity. I believe #Ethereum is in such a state! 

I am bullish on #ETH! ",1,0,0,2,0.8065,"Sentiment(polarity=0.08333333333333333, subjectivity=0.39166666666666666)"
35,576,2022-09-09 23:14:03+00:00,https://twitter.com/SnoopMinerETH/status/1568377222662078465,SnoopMinerETH,Twitter for iPhone,," #METAMINER has always felt great….best….different.  Maybe it’s the #DoxxedTeam maybe it’s the #family In #community, but it very well could be the #utility #staking #farming #rewards and #NFT that mine #ETH in the #Metaverse #bullish #bluechip partner with  💪❤️ ",9,5,0,3,0.8042,"Sentiment(polarity=0.2, subjectivity=0.3)"
36,513,2022-09-10 18:02:42+00:00,https://twitter.com/berrycrypt/status/1568661255799414785,berrycrypt,Twitter for iPhone,The Cosmos universe,"▪️cheap and faster fees than ETH
▪️ compatible 
▪️ no network conjestion

(  x  ) ❤️💚💜

Bring #ETH to #cosmos using #EVMOS

 is bullish👀

$EVMOS",57,11,0,8,0.802,"Sentiment(polarity=0.0, subjectivity=0.0)"
37,864,2022-09-07 22:33:42+00:00,https://twitter.com/YouseyC1/status/1567642291501932544,YouseyC1,Twitter for iPhone,," #SD (Shib Dragon)

Check the website, it states you can gain access to larps and alpha projects. Bullish utility play. Don't fade, this is a milly play. 

Chart: …

Telegram: 

#HEX #SHIBA #TSUKA #1000XGEM #ETH",0,0,0,0,0.802,"Sentiment(polarity=0.0, subjectivity=0.0)"
38,200,2022-09-13 14:18:06+00:00,https://twitter.com/rajibbiswas328/status/1569691896355897344,rajibbiswas328,Twitter for Android,,"#crypto fam very good morning to you all...
Wishing you a prosperous day ahead 🚀🚀
#crypto #bullish #ETH",0,0,0,1,0.8016,"Sentiment(polarity=0.9099999999999999, subjectivity=0.7800000000000001)"
39,122,2022-09-14 03:39:21+00:00,https://twitter.com/NFTyDLuffy/status/1569893537193332738,NFTyDLuffy,Twitter for Android,"Colorado, USA","Over all I'm still bullish on eth and crypto, I'm encouraged by the NFT integration to corporate businesses with the Starbucks news recently. We just have a lot going on in the world and we need time to let it figure itself out. Great accumulation time is now!! #WGMI #NFA #ETH",1,0,0,0,0.8011,"Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)"
40,38,2022-09-14 19:01:03+00:00,https://twitter.com/CryptoKoalaBtc/status/1570125490047881220,CryptoKoalaBtc,Twitter Web App,"Miami, Florida ","Couldn't be more bullish on the  #WPT $WPT #NFTs launch.

Especially since it got delayed, this just shows how much the team cares about delivering the best!
Don't miss this. _Investing  #eth ",13,7,0,11,0.7927,"Sentiment(polarity=0.425, subjectivity=0.5)"
41,807,2022-09-08 09:25:47+00:00,https://twitter.com/CryptoCacs/status/1567806393113092096,CryptoCacs,Twitter for iPhone,"Amsterdam, Nederland","#CryptoCacs 🌵 #OpenZoo ↔️ #opensea this is SUPER BULLISH!
Be ready in OCTOBER🔥 i will MINT alot of new Cacs🌵Spread the word and be ready to ape in this limited collection of only 500!👀 the first 200 SOLD ALREADY!
#eth $Zoo #ZooKeeper #ethereum #nft #nfts #avax #merge #Crypto ",29,3,0,5,0.7896,"Sentiment(polarity=0.17058596165739023, subjectivity=0.5139146567717996)"
42,523,2022-09-10 15:30:00+00:00,https://twitter.com/CryptoBallZ_/status/1568622828546670596,CryptoBallZ_,Twitter Web App,,"#EHIVE Update:

Like i thought, another breakout, the chart looked so bullish i just had to call it! If you grabbed a bag you are now at around a 1,5x again! Looks like this one will stick around a while! (;

#ETH #Ethereum #100x #altcoins #crypto #ape ",2,2,0,3,0.7891,"Sentiment(polarity=0.0, subjectivity=0.0)"
43,952,2022-09-07 05:32:08+00:00,https://twitter.com/QDiepeveen/status/1567385204909809673,QDiepeveen,Typefully,"Beursplein 5, Amsterdam","The day may be a sell event, but longterm #ETH has never been more bullish! But act cautiously, given #Macro is of great influence.

",11,0,0,1,0.7871,"Sentiment(polarity=0.7125, subjectivity=0.625)"
44,320,2022-09-12 16:19:00+00:00,https://twitter.com/EthereumWest/status/1569359935514808320,EthereumWest,Twitter for iPhone,"Los Angeles, CA",Just a retest of $1700 support. Perfectly bullish 🚀🚀🚀 #eth,0,0,0,0,0.7845,"Sentiment(polarity=1.0, subjectivity=1.0)"
45,207,2022-09-13 13:46:01+00:00,https://twitter.com/2bb_art/status/1569683822475710464,2bb_art,Twitter for Android,," $KURAGE and $KOYANE, both about to explode! $KURAGE, first ever meme to launch on all major chains. #ETH now, #BSC today. More following, perfect entry. $KOYANE, only 80k supply and deflationary. Big names behind it, website release within 24 hours or so. Both huge opps!",5,1,0,2,0.7822,"Sentiment(polarity=0.21250000000000002, subjectivity=0.5703703703703704)"
46,368,2022-09-12 07:51:06+00:00,https://twitter.com/RedLightMuzik/status/1569232119226073089,RedLightMuzik,Twitter Web App,chillin somewhere,"and we got a weekly bullish cross on $ETH 🥳🥳🥳

First bullish cross since April 2020

#ETHMerge #ETH #ETHUSDT ",1,0,0,0,0.7783,"Sentiment(polarity=0.08333333333333333, subjectivity=0.1111111111111111)"
47,619,2022-09-09 14:55:17+00:00,https://twitter.com/Crosswolfxx/status/1568251704176517125,Crosswolfxx,Twitter for iPhone,"Kentucky, USA",Tweet #143 #verified Please verify  The World is Watching and our 400k followers!👀👀 #SaitamaWolfPack‌4Life #SaitaPro #SaitaRealty #SaitamaTechnologyLLC #Bullish #CryptocurrencyNews #DeFi #Diversity #DiamondHands #DYOR #Verified #ETH #EagleFC #StrongerTogether #HODL ,43,18,1,0,0.7777,"Sentiment(polarity=0.0, subjectivity=0.0)"
48,673,2022-09-08 22:48:08+00:00,https://twitter.com/papa_woody21/status/1568008313945878528,papa_woody21,Twitter for iPhone,Cardiff By The Sea.,#MIKOTO AMA So Bullish. This Roadmap Shows That We Have JUST GOTTEN STARTED. Thanks To This Amazing Community. #ETH #altcoin #1000xgem #memecoin #Cryptocurency TG:::  ,39,21,0,26,0.7717,"Sentiment(polarity=0.4, subjectivity=0.55)"
49,449,2022-09-11 11:15:25+00:00,https://twitter.com/CryptoSignalMs/status/1568921147051212801,CryptoSignalMs,Zapier.com,,"💸💎 #ETH - 🔹SIGNAL🔹 Our Trends report bullish reversal signals (buying opportunity) for $ETH at Price 1761.5989427842264 

🔁 Retweet if I'm helping you make some money!

🟢 Learn More:  ",0,0,0,1,0.7712,"Sentiment(polarity=0.5, subjectivity=0.5)"
50,332,2022-09-12 14:47:32+00:00,https://twitter.com/majesticboss55/status/1569336917845594113,majesticboss55,Twitter for iPhone,United States,#Cheems hype is building!!! I suggest you ape a nice bag before takeoff 😎📈 #Crypto #1000xgem #Metaverse #NFT #ETH #BSC #AVAX #BULLISH #DeFi #P2E,125,47,5,41,0.7701,"Sentiment(polarity=0.6, subjectivity=1.0)"
51,441,2022-09-11 13:33:23+00:00,https://twitter.com/KrispNaztyFarms/status/1568955868430974981,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH ",8,6,0,2,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
52,612,2022-09-09 15:35:49+00:00,https://twitter.com/KrispNaztyFarms/status/1568261905692917760,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",2,0,0,1,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
53,334,2022-09-12 14:26:29+00:00,https://twitter.com/janeycom/status/1569331620758409217,janeycom,Twitter for Android,," Carl, I think #Eth will crash with the merge approaching and it might affect the whole market.

I'm happy I get to buy a good $ETH alternative at a discount and I'm gonna keep buying until fomo starts on it. 
#Syscoin is what every smart investors need in their bag right now.",4,0,0,1,0.765,"Sentiment(polarity=0.36666666666666664, subjectivity=0.5297619047619048)"
54,685,2022-09-08 20:32:07+00:00,https://twitter.com/KrispNaztyFarms/status/1567974082024448000,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",1,0,0,0,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
55,890,2022-09-07 17:32:39+00:00,https://twitter.com/WaKeAiR_S_S/status/1567566530136653825,WaKeAiR_S_S,Twitter for Android,," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",7,2,0,0,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
56,206,2022-09-13 13:51:11+00:00,https://twitter.com/KrispNaztyFarms/status/1569685123942973443,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",0,0,0,0,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
57,846,2022-09-08 02:02:05+00:00,https://twitter.com/KrispNaztyFarms/status/1567694734604357632,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," _Investing Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",2,1,0,0,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
58,692,2022-09-08 19:13:46+00:00,https://twitter.com/KrispNaztyFarms/status/1567954363615776774,KrispNaztyFarms,Twitter for Android,"Fort Smith, AR"," Very bullish on  so much utility from the start.  Staking, farming. Faucet, nft staking, and so much more still in the works.  Dual treasury built by brewlabs take taxes and syndicate and profits sent to 2nd treasury to buy wpt, as well as bacon and usdc. $wpt #ETH",1,0,0,0,0.765,"Sentiment(polarity=0.225, subjectivity=0.25)"
59,924,2022-09-07 12:15:24+00:00,https://twitter.com/m_criptomonedas/status/1567486693040693251,m_criptomonedas,Twitter Web App,,"🔝#TOPNEWS🔝
📈#Ethereum📈
Desplome después de una breve subida.
Ethereum, #EthereumClassic, #LidoFinance se desploman en las últimas 24h y en la víspera de la fusión.

🔜 Ampliaremos luego…
$ETH $ETC #ETH #TheMerge #EthereumMerge #Crypto #CryptoNews #TOP #MundoCriptomonedas",0,0,0,2,0.7649,"Sentiment(polarity=0.5, subjectivity=0.5)"
60,713,2022-09-08 14:39:21+00:00,https://twitter.com/AlbertcryptoN/status/1567885303997779969,AlbertcryptoN,Twitter Web App,Heaven,"#ETH/USD

Bearish setup played out awesome✔️ ",0,0,0,0,0.7579,"Sentiment(polarity=0.0, subjectivity=0.0)"
61,567,2022-09-10 01:45:39+00:00,https://twitter.com/SandwichNFTz/status/1568415373879398400,SandwichNFTz,Twitter Web App,," My brother, you've GOT to check out #MIKOTO. Great community, small grassroots vibes, EXPLODING within just 7 days days of creation and has a long and packed pathway yet to achieve! #MIKOTO #ETH #MOONBOY",0,0,0,0,0.7574,"Sentiment(polarity=0.1625, subjectivity=0.5166666666666666)"
62,259,2022-09-13 05:01:24+00:00,https://twitter.com/taps0ux/status/1569551800226783232,taps0ux,Twitter Web App,Netherlands ,Hey guuuuys! I'd like to share why i'm bullish about #NFT on #ETH! 1. Blue chip NFTs can't be on chain that may not survive (hello Solana). Ethereum has proved its power by surviving at least 2 bear markets and become the second cryptocurrency of CMC,2,0,0,2,0.7568,"Sentiment(polarity=-0.09999999999999999, subjectivity=0.16666666666666666)"
63,585,2022-09-09 20:00:04+00:00,https://twitter.com/RoundlyX/status/1568328403601981442,RoundlyX,Buffer,"Richmond, Va","It’s never a bad time to start dollar-cost averaging into #ETH - especially if you’re bullish on the upcoming merge!

The RoundlyX App makes saving #Ethereum as easy as making your regular purchases.

We round them up, you get more $ETH.

Simple as! ",5,3,0,0,0.7457,"Sentiment(polarity=0.15476190476190474, subjectivity=0.5477237048665621)"
